device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon(TM) Graphics,1,4,469388,0.469388,1.7925949096679688,0.0,512.0,97.1030999935465,97.21470000658883,97.16945000400301,97.16706999970484,0.03214644971700874,,
AMD Radeon(TM) Graphics,2,4,469528,0.469528,1.7933197021484375,0.0,512.0,97.1477999992203,97.34670000034384,97.2660499974154,97.25728999983403,0.07051820138342879,,
AMD Radeon(TM) Graphics,4,4,469808,0.469808,1.794769287109375,0.0,512.0,97.32629999780329,97.5209000025643,97.40754999802448,97.41088999944623,0.06454989477059868,,
AMD Radeon(TM) Graphics,8,4,470368,0.470368,1.79766845703125,0.0,512.0,97.6440000013099,97.88790000311565,97.75490000174614,97.74798000071314,0.0689731523092923,,
AMD Radeon(TM) Graphics,16,4,471488,0.471488,1.803466796875,0.0,512.0,98.33269999944605,98.64700000616722,98.45130000030622,98.44898000010289,0.08315160709547145,,
AMD Radeon(TM) Graphics,32,4,473728,0.473728,1.8150634765625,0.0,512.0,99.71289999521105,99.96839999803342,99.85490000326536,99.86023000092246,0.08042307053797616,,
AMD Radeon(TM) Graphics,64,4,478208,0.478208,1.8382568359375,0.0,512.0,102.62019999936456,102.95610000321176,102.68519999954151,102.73059999963152,0.11453803836014892,,
AMD Radeon(TM) Graphics,128,4,487168,0.487168,1.8846435546875,0.0,512.0,108.69649999949615,109.0630999970017,108.76810000263504,108.81764000150724,0.11850829560882087,,
AMD Radeon(TM) Graphics,256,4,505088,0.505088,1.9774169921875,0.0,512.0,162.21760000189533,167.8648000015528,164.77870000016992,164.9536300014006,1.5421560151714637,,
AMD Radeon(TM) Graphics,512,4,540928,0.540928,2.1629638671875,0.0,512.0,514.3219000019599,529.4013000020641,520.4823999993096,520.7126700006484,4.780799169539466,,
AMD Radeon(TM) Graphics,1024,4,612608,0.612608,2.5340576171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,2048,4,755968,0.755968,3.2762451171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,4096,4,1042688,1.042688,4.7606201171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,8192,4,1616128,1.616128,7.7293701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,16384,4,2763008,2.763008,13.6668701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,32768,4,5056768,5.056768,25.5418701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,65536,4,9644288,9.644288,49.2918701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,131072,4,18819328,18.819328,96.7918701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,262144,4,37169408,37.169408,191.7918701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,524288,4,73869568,73.869568,381.7918701171875,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,1048576,4,147269888,147.269888,761.7918701171875,,512.0,,,,,,oom,pre-run: model size >= 512 MiB (est. 762 MiB)
AMD Radeon(TM) Graphics,0,8,470928,0.470928,1.798431396484375,0.0,512.0,96.88219999952707,97.07419999904232,96.96990000156802,96.97204000040074,0.05777298939423546,,
AMD Radeon(TM) Graphics,1,8,471368,0.471368,1.8004531860351562,0.0,512.0,97.05209999810904,97.20930000185035,97.11395000340417,97.1258100013074,0.049474669634921094,,
AMD Radeon(TM) Graphics,2,8,471808,0.471808,1.8024749755859375,0.0,512.0,97.16040000057546,97.46380000433419,97.30610000042361,97.31619000158389,0.08106652205524843,,
AMD Radeon(TM) Graphics,4,8,472688,0.472688,1.8065185546875,0.0,512.0,97.48079999553738,97.78430000005756,97.61224999965634,97.62650999982725,0.09035617945053542,,
AMD Radeon(TM) Graphics,8,8,474448,0.474448,1.814605712890625,0.0,512.0,98.0660000059288,98.37740000511985,98.20480000053067,98.22454000095604,0.09477927215753827,,
AMD Radeon(TM) Graphics,16,8,477968,0.477968,1.830780029296875,0.0,512.0,99.29549999651499,99.63250000146218,99.51209999780986,99.5056099985959,0.09404561124137288,,
AMD Radeon(TM) Graphics,32,8,485008,0.485008,1.863128662109375,0.0,512.0,101.82269999495475,102.11990000243532,101.9649500012747,101.97401999976137,0.07689782720178606,,
AMD Radeon(TM) Graphics,64,8,499088,0.499088,1.927825927734375,0.0,512.0,106.79750000417698,107.0901999992202,106.8986499994935,106.9167000016023,0.08338292318075825,,
AMD Radeon(TM) Graphics,128,8,527248,0.527248,2.057220458984375,0.0,512.0,116.75010000180919,117.10070000117412,116.97845000162488,116.94617000030121,0.10227531493699558,,
AMD Radeon(TM) Graphics,256,8,583568,0.583568,2.316009521484375,0.0,512.0,166.2140000044019,168.48879999452038,167.25200000291807,167.32734000033815,0.7245758293671442,,
AMD Radeon(TM) Graphics,512,8,696208,0.696208,2.833587646484375,0.0,512.0,505.5274000042118,529.8825999998371,513.6366500009899,513.88894000047,7.209367541975446,,
AMD Radeon(TM) Graphics,1024,8,921488,0.921488,3.868743896484375,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,2048,8,1372048,1.372048,5.939056396484375,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,4096,8,2273168,2.273168,10.079681396484375,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,8192,8,4075408,4.075408,18.360931396484375,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,16384,8,7679888,7.679888,34.923431396484375,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon(TM) Graphics,32768,8,14888848,14.888848,68.04843139648438,,512.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
