device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
CPU,1024,8,921488,0.921488,3.868743896484375,0.0,32768.0,225.82799999509007,247.35759999748552,238.54660000142758,238.03025000015623,5.420389335085995,,
CPU,2048,8,1372048,1.372048,5.939056396484375,0.0,32768.0,393.70469999994384,418.4298999971361,405.37489999769605,405.6100699999661,7.682545464349227,,
CPU,4096,8,2273168,2.273168,10.079681396484375,0.0,32768.0,713.0593999972916,754.8155999975279,735.9619999951974,733.5549099982018,13.375984851158684,,
CPU,8192,8,4075408,4.075408,18.360931396484375,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,16384,8,7679888,7.679888,34.923431396484375,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,32768,8,14888848,14.888848,68.04843139648438,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,65536,8,29306768,29.306768,134.29843139648438,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,131072,8,58142608,58.142608,266.7984313964844,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,262144,8,115814288,115.814288,531.7984313964844,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,524288,8,231157648,231.157648,1061.7984313964844,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,1048576,8,461844368,461.844368,2121.7984313964844,,32768.0,,,,,,time,blocked: lower width failed at stages=8192 (time limit)
CPU,0,16,474288,0.474288,1.811553955078125,0.0,32768.0,66.57950000226265,72.55060000170488,68.86829999712063,69.37221000043792,2.1250096206016136,,
CPU,1,16,475808,0.475808,1.8180007934570312,0.0,32768.0,66.65080000675516,74.80309999664314,70.96889999957057,70.50149000060628,2.326569582975912,,
CPU,2,16,477328,0.477328,1.8244476318359375,0.0,32768.0,67.91399999929126,73.42049999715528,69.55145000392804,69.80136000056518,1.5672676093519824,,
CPU,4,16,480368,0.480368,1.83734130859375,0.0,32768.0,68.72650000150315,76.74430000042776,70.91570000193315,71.37941000182764,2.1113868788189447,,
CPU,8,16,486448,0.486448,1.863128662109375,0.0,32768.0,71.48890000098618,75.40579999476904,72.62995000201045,72.81144000007771,1.0820140103478015,,
CPU,16,16,498608,0.498608,1.914703369140625,0.0,32768.0,74.38370000454597,82.29549999668961,75.94555000105174,76.90285999997286,2.5183217372468523,,
CPU,32,16,522928,0.522928,2.017852783203125,0.0,32768.0,80.88000000134343,86.42279999912716,83.49635000195121,83.68208000101731,1.6995113940674729,,
CPU,64,16,571568,0.571568,2.224151611328125,0.0,32768.0,94.3219999971916,101.71270000137156,98.14585000276566,97.89733000070555,2.1909506849580245,,
