device,n_head_stages,head_width,params,params_M,memory_MiB,vram_GiB,vram_limit_mib,min,max,median,mean,std,dnf_reason,dnf_message
AMD Radeon RX 7800 XT,32768,8,14888848,14.888848,68.04843139648438,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,8,29306768,29.306768,134.29843139648438,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,131072,8,58142608,58.142608,266.7984313964844,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,262144,8,115814288,115.814288,531.7984313964844,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,524288,8,231157648,231.157648,1061.7984313964844,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,1048576,8,461844368,461.844368,2121.7984313964844,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,0,16,474288,0.474288,1.811553955078125,0.0,16384.0,3.4123000004910864,3.759799998078961,3.468099996098317,3.485109999019187,0.09533137420787793,,
AMD Radeon RX 7800 XT,1,16,475808,0.475808,1.8180007934570312,0.0,16384.0,3.5341999973752536,3.824300001724623,3.606749996833969,3.653959999064682,0.09458042377509587,,
AMD Radeon RX 7800 XT,2,16,477328,0.477328,1.8244476318359375,0.0,16384.0,3.574100002879277,3.875700000207871,3.66550000035204,3.6990500004321802,0.10725702001148923,,
AMD Radeon RX 7800 XT,4,16,480368,0.480368,1.83734130859375,0.0,16384.0,3.6883000066154636,4.4352000040817074,3.8723499965271913,3.95601000127499,0.2087118125784552,,
AMD Radeon RX 7800 XT,8,16,486448,0.486448,1.863128662109375,0.0,16384.0,3.7674000050174072,4.076199998962693,3.855150000163121,3.909939999721246,0.12149177898545521,,
AMD Radeon RX 7800 XT,16,16,498608,0.498608,1.914703369140625,0.0,16384.0,4.945399996358901,6.3086000009207055,5.360899998777313,5.397259999153903,0.39173856427029197,,
AMD Radeon RX 7800 XT,32,16,522928,0.522928,2.017852783203125,0.0,16384.0,9.45510000019567,10.46420000056969,9.94910000008531,9.931530000903876,0.3082317804455693,,
AMD Radeon RX 7800 XT,64,16,571568,0.571568,2.224151611328125,0.0,16384.0,20.205900000291876,22.926300000108313,21.701500001654495,21.510950000811135,0.8050726880255349,,
AMD Radeon RX 7800 XT,128,16,668848,0.668848,2.636749267578125,0.0,16384.0,49.47740000352496,53.30069999763509,51.26860000018496,51.226909999968484,0.9281206357540976,,
AMD Radeon RX 7800 XT,256,16,863408,0.863408,3.461944580078125,0.0,16384.0,142.001899999741,148.2012000051327,144.45569999952568,144.89108999987366,1.8546587864696034,,
AMD Radeon RX 7800 XT,512,16,1252528,1.252528,5.112335205078125,0.0,16384.0,504.26639999932377,512.9942000057781,508.4921499983466,508.5726000012073,2.8440467662180864,,
AMD Radeon RX 7800 XT,1024,16,2030768,2.030768,8.413116455078125,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,2048,16,3587248,3.587248,15.014678955078125,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,4096,16,6700208,6.700208,28.217803955078125,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,8192,16,12926128,12.926128,54.624053955078125,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,16384,16,25377968,25.377968,107.43655395507812,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,32768,16,50281648,50.281648,213.06155395507812,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,65536,16,100089008,100.089008,424.3115539550781,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,131072,16,199703728,199.703728,846.8115539550781,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,262144,16,398933168,398.933168,1691.8115539550781,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,524288,16,797392048,797.392048,3381.811553955078,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,1048576,16,1594309808,1594.309808,6761.811553955078,,16384.0,,,,,,time,blocked: lower width failed at stages=1024 (time limit)
AMD Radeon RX 7800 XT,0,32,481008,0.481008,1.837799072265625,0.0,16384.0,3.417699997953605,3.7324000004446134,3.5141000007570256,3.548249999585096,0.10337244619359938,,
AMD Radeon RX 7800 XT,1,32,486608,0.486608,1.8604202270507812,0.0,16384.0,3.558899996278342,3.8681000005453825,3.6513000013655983,3.7062299998069648,0.11647955186896508,,
AMD Radeon RX 7800 XT,2,32,492208,0.492208,1.8830413818359375,0.0,16384.0,3.669699995953124,3.9648000019951724,3.847799998766277,3.8139599993883166,0.10921746532802802,,
AMD Radeon RX 7800 XT,4,32,503408,0.503408,1.92828369140625,0.0,16384.0,3.6517000044113956,4.1233000010834076,3.923750002286397,3.890430001047207,0.14575512389998493,,
AMD Radeon RX 7800 XT,8,32,525808,0.525808,2.018768310546875,0.0,16384.0,3.8175000008777715,4.211799998302013,4.056199999467935,4.031530000065686,0.11669608498696933,,
AMD Radeon RX 7800 XT,16,32,570608,0.570608,2.199737548828125,0.0,16384.0,4.958199999236967,5.853200003912207,5.14130000010482,5.221150000579655,0.2702178917668991,,
AMD Radeon RX 7800 XT,32,32,660208,0.660208,2.561676025390625,0.0,16384.0,9.691699997347314,10.61239999398822,9.949600000254577,9.985689998575253,0.30238161432047483,,
