time_index,loudness_zwtv_target,loudness_zwtv_pred,sharpness_din_tv_target,sharpness_din_tv_pred,roughness_dw_target,roughness_dw_pred,tnr_ecma_perseg_target,tnr_ecma_perseg_pred,sii_ansi_target,sii_ansi_pred
116,56.078938,47.993496,2.0363023,1.4729277,,,,,,
117,56.24302,48.40273,2.17459,1.491152,,,,,,
118,56.335434,50.05453,2.1708639,1.5607135,,,,,,
119,56.904587,62.087173,2.2406142,1.9194983,,,,,,
120,57.199852,48.544453,2.253711,1.4909608,,,,,,
121,57.77564,56.3687,2.3571157,1.7145314,,,,,,
122,58.324284,57.220867,2.3274963,1.7297442,,,,,,
123,57.869343,48.194828,2.2873209,1.4890679,,,,,,
124,57.517593,48.998604,2.250436,1.5301259,,,,,,
125,57.052284,49.510662,2.2250073,1.5291156,,,,,,
126,56.69451,57.628624,2.2267778,1.7454748,,,,,,
127,57.02061,49.85803,2.2750597,1.5400511,,,,,,
128,57.395958,51.93346,2.158981,1.6159755,,,,,,
129,57.95935,56.195507,2.2676063,1.7362856,,,,,,
130,58.44524,50.36571,2.1920125,1.5612763,,,,,,
131,58.74764,58.41517,2.2742229,1.7716982,,,,,,
132,59.011974,54.687492,2.1755433,1.6549394,,,,,,
133,59.27599,50.6594,2.1044273,1.5496385,,,,,,
134,59.70006,55.471764,2.1573465,1.6937501,,,,,,
135,59.84078,55.144417,2.1306083,1.6768208,,,,,,
136,59.562286,70.12652,2.1585522,2.1715553,,,,,,
137,60.229225,74.176384,2.3971717,2.2646537,,,,,,
138,60.374813,63.094997,2.065508,1.9025959,,,,,,
139,59.198784,70.14272,1.9450033,2.0933316,,,,,,
140,58.25602,61.936592,1.9218975,1.8592515,,,,,,
141,57.66029,47.91878,1.858228,1.4876969,,,,,,
142,56.764576,76.35603,2.00827,2.352554,,,,,,
143,56.286488,69.75539,2.025671,2.1380763,,,,,,
144,55.927692,55.700783,1.8053435,1.7223947,,,,,,
145,55.364185,46.800377,1.8516556,1.4501072,,,,,,
146,56.00083,69.089455,1.9967223,2.0670276,,,,,,
147,56.29551,57.82844,1.8964252,1.7486777,,,,,,
148,56.29011,65.40332,1.8353267,1.9531066,,,,,,
149,56.269447,50.522083,1.7620913,1.5483578,,,,,,
150,56.45682,49.487865,1.8902599,1.5298923,,,,,,
151,57.425774,68.834694,1.9761266,2.1232479,,,,,,
152,57.956284,61.200836,1.8511465,1.8968475,,,,,,
153,57.994522,63.513268,1.8896728,1.9467357,,,,,,
154,58.865364,49.11587,1.9244946,1.5070608,,,,,,
155,59.518425,57.97284,1.9020694,1.7467167,,,,,,
156,59.338234,51.02714,1.9215902,1.5661461,,,,,,
157,59.639072,48.09527,1.9018002,1.4821821,,,,,,
158,59.43691,51.05881,1.7901299,1.574823,,,,,,
159,59.401363,50.485573,1.8581835,1.5622534,,,,,,
160,59.552658,59.380505,1.8560765,1.8451157,,,,,,
161,59.857906,53.53236,1.7742192,1.6554555,,,,,,
162,59.557,51.86858,1.8041395,1.5851415,,,,,,
163,60.153797,52.409615,1.9396273,1.607215,,,,,,
164,61.081192,51.63114,1.9370083,1.5874861,,,,,,
165,62.27191,49.69148,2.007926,1.5387226,,,,,,
166,62.77024,53.343872,1.8279619,1.6540345,,,,,,
167,62.440872,51.12,1.9095837,1.5763384,,,,,,
168,62.562473,52.44888,1.9108624,1.6126026,,,,,,
169,62.43178,49.0839,1.8407222,1.5073851,,,,,,
170,62.35538,49.354237,1.8473743,1.5117191,,,,,,
171,62.067062,44.541256,1.7896103,1.382989,,,,,,
172,61.96264,65.103226,1.8444434,2.0172813,,,,,,
173,61.561554,52.321407,1.7787418,1.6225232,,,,,,
174,60.7183,58.578316,1.7549875,1.7682607,,,,,,
175,60.5871,54.130386,1.914914,1.6450613,,,,,,
176,60.82785,53.70862,1.8731148,1.6367334,,,,,,
177,60.644726,48.211464,1.9020798,1.4767767,,,,,,
178,61.241764,46.099068,1.9394885,1.4240911,,,,,,
179,61.63532,50.140877,1.9121442,1.5493081,,,,,,
180,61.24717,61.313957,1.7297639,1.9054846,,,,,,
181,60.7845,61.938553,1.8862463,1.9078159,,,,,,
182,60.785397,53.409676,1.8704429,1.6346985,,,,,,
183,60.67849,65.200584,1.8780239,1.9469384,,,,,,
184,60.53124,64.94179,1.8124388,1.947849,,,,,,
185,60.300602,47.280766,1.7328819,1.4608837,,,,,,
186,59.76571,63.153877,1.7088232,1.9541396,,,,,,
187,58.749397,66.451866,1.6183988,2.0547056,,,,,,
188,58.373272,59.387115,1.7721001,1.8318429,,,,,,
189,58.373665,55.90402,1.6987365,1.7123265,,,,,,
190,58.424282,62.303307,1.7629693,1.8676074,,,,,,
191,58.598198,66.64457,1.7320652,1.9923341,,,,,,
192,58.33813,55.276566,1.6755809,1.6762522,,,,,,
193,58.119423,52.69654,1.7329723,1.5989558,,,,,,
194,57.925064,50.546787,1.7127465,1.553064,,,,,,
195,57.630722,64.19477,1.6963795,1.9928406,,,,,,
196,57.834286,70.341866,1.6967791,2.1677752,,,,,,
197,58.055294,57.79415,1.66941,1.7837267,,,,,,
198,57.69741,52.17895,1.7312905,1.6000966,,,,,,
199,57.796432,60.172573,1.7776973,1.8170094,,,,,,
200,57.677757,66.145775,1.7814853,1.9791753,,,,,,
201,57.676613,61.99848,1.7798649,1.8615279,,,,,,
202,57.699684,49.290867,1.8078222,1.5187732,,,,,,
203,58.19002,63.42421,1.8911313,1.9672416,,,,,,
204,58.451187,60.842373,1.7612355,1.8841879,,,,,,
205,58.727955,49.19508,1.8501936,1.5126897,,,,,,
206,58.722008,48.131813,1.7418325,1.4895216,,,,,,
207,58.903664,51.35168,1.7663782,1.5702375,,,,,,
208,59.20993,55.77444,1.7498102,1.6910825,,,,,,
209,59.00017,49.226112,1.6654911,1.5233905,,,,,,
210,59.013447,56.85698,1.732865,1.7602155,,,,,,
211,59.769947,49.786808,1.8792545,1.5413253,,,,,,
212,60.37739,59.435226,1.823223,1.7802594,,,,,,
213,60.271545,50.994167,1.7753489,1.5574195,,,,,,
214,59.858055,58.251522,1.6834339,1.8015547,,,,,,
215,58.84321,62.520866,1.7025852,1.9445047,,,,,,
216,58.504074,62.925797,1.7543886,1.9385679,,,,,,
217,58.489906,49.364727,1.630787,1.5161966,,,,,,
218,58.47809,56.25785,1.7346228,1.7135638,,,,,,
219,58.863724,55.20574,1.790257,1.6744173,,,,,,
220,59.065235,56.16632,1.81926,1.6936967,,,,,,
221,59.330006,48.920628,1.7482984,1.5169185,,,,,,
222,59.240734,52.597694,1.7253343,1.6356317,,,,,,
223,59.289196,51.369484,1.8391522,1.6014141,,,,,,
224,59.642788,51.040913,1.8150381,1.5644095,,,,,,
225,59.721615,45.338688,1.8749304,1.3984882,,,,,,
226,59.57272,52.76423,1.7574922,1.6122078,,,,,,
227,58.49274,48.63708,1.6307915,1.499368,,,,,,
228,58.19953,54.356712,1.7435952,1.6925482,,,,,,
229,58.426216,56.75904,1.6648973,1.7544779,,,,,,
230,58.47964,49.914356,1.7410344,1.5354289,,,,,,
231,58.633232,60.41127,1.7327256,1.8354528,,,,,,
232,58.80886,60.717293,1.7550881,1.8204606,,,,,,
233,58.807144,49.699207,1.7209972,1.5345231,,,,,,
234,58.63038,52.248707,1.69709,1.621269,,,,,,
235,58.647556,55.99466,1.6989532,1.7388467,,,,,,
236,58.692604,52.913612,1.6687155,1.6285514,,,,,,
237,58.6257,51.179127,1.6735241,1.5645335,,,,,,
238,59.355717,56.895153,1.775497,1.7286558,,,,,,
239,60.03916,55.466106,1.7528489,1.6790065,,,,,,
240,60.18724,46.346397,1.7618448,1.4511979,,,,,,
241,59.781887,58.138687,1.7129247,1.795277,,,,,,
242,59.221565,51.990414,1.613506,1.616536,,,,,,
243,58.78864,52.245686,1.6591705,1.6050378,,,,,,
244,58.643272,60.74196,1.624954,1.8281054,,,,,,
245,59.01622,62.150696,1.7001228,1.8672656,,,,,,
246,59.646763,45.56765,1.6821955,1.4125699,,,,,,
247,59.852943,60.699398,1.6583118,1.8791728,,,,,,
248,59.999493,63.685204,1.6797793,1.9713887,,,,,,
249,60.02519,47.128315,1.6574836,1.4633472,,,,,,
250,59.8226,63.524227,1.5832962,1.9066253,,,,,,
251,58.755787,62.08184,1.5486484,1.864409,,,,,,
252,57.972218,47.00159,1.5827367,1.444734,,,,,,
253,57.77135,51.875237,1.5816771,1.6107433,,,,,,
254,57.789764,65.37899,1.6714834,2.0257282,,,,,,
255,57.9249,51.461338,1.7273948,1.5781115,,,,,,
256,58.06201,54.30458,1.7430207,1.6588391,,,,,,
257,58.502327,51.083508,1.767263,1.5622145,,,,,,
258,59.221428,53.347496,1.6755863,1.6188848,,,,,,
259,59.482994,51.115513,1.7058544,1.5947297,,,,,,
260,59.613075,52.9488,1.7122889,1.6530911,,,,,,
261,59.82691,52.75964,1.6702712,1.6326216,,,,,,
262,59.398994,52.441525,1.5731884,1.6017048,,,,,,
263,59.52237,55.90152,1.7700373,1.6939276,,,,,,
264,59.952827,47.3371,1.6157196,1.4536369,,,,,,
265,59.088123,54.204086,1.5094734,1.6467468,,,,,,
266,58.434814,58.69387,1.59397,1.8183331,,,,,,
267,58.369156,67.1259,1.6652092,2.066364,,,,,,
268,58.465775,50.043377,1.6387403,1.5586311,,,,,,
269,57.775475,68.610306,1.4653611,2.0584378,,,,,,
270,56.5972,68.25576,1.441199,2.0300336,,,,,,
271,56.82701,50.86507,1.5342636,1.5468466,,,,,,
272,57.463963,62.98817,1.484111,1.954119,,,,,,
273,57.90696,67.96655,1.5874141,2.0891097,,,,,,
274,57.947624,54.330486,1.549366,1.6555898,,,,,,
275,57.4375,56.593655,1.4422243,1.7166476,,,,,,
276,56.95901,49.094414,1.4489425,1.4912058,,,,,,
277,56.59902,51.516537,1.4264526,1.6045663,,,,,,
278,56.314182,49.184933,1.4920237,1.5288869,,,,,,
279,56.85223,47.942574,1.6438942,1.4669545,,,,,,
280,57.125744,53.84805,1.5625659,1.6808436,,,,,,
281,56.884136,53.75201,1.5024928,1.6570572,,,,,,
282,56.663727,48.60795,1.5334339,1.497531,,,,,,
283,56.8426,55.352814,1.4908204,1.6813421,,,,,,
284,56.92404,57.402447,1.582603,1.7308091,,,,,,
285,57.370586,48.54543,1.6466652,1.5078713,,,,,,
286,57.42401,81.76396,1.5738362,2.5043476,,,,,,
287,57.143658,65.23705,1.4889505,2.0020921,,,,,,
288,56.13027,67.42014,1.3991321,2.026173,,,,,,
289,55.35444,76.72796,1.4901521,2.2754118,,,,,,
290,55.24688,51.945652,1.5062689,1.5775535,,,,,,
291,55.722263,75.04573,1.5937532,2.3142788,,,,,,
292,56.365658,59.72212,1.5648729,1.8428288,,,,,,
293,56.679028,53.141335,1.5246661,1.620603,,,,,,
294,56.497437,64.76574,1.4734734,1.9486184,,,,,,
295,56.19213,45.84931,1.4572904,1.4060665,,,,,,
296,55.480602,56.880722,1.4280977,1.7657608,,,,,,
297,55.13248,44.69944,1.4179686,1.3977863,,,,,,
298,54.75756,50.31149,1.4359163,1.5413349,,,,,,
299,54.699585,43.936363,1.5061178,1.3551015,,,,,,
300,55.167416,46.93929,1.5603774,1.4666976,,,,,,
301,55.348846,45.58939,1.4909549,1.4134008,,,,,,
302,55.516525,48.91666,1.5762092,1.4930913,,,,,,
303,55.636387,53.363995,1.5131716,1.6161696,,,,,,
304,55.382526,45.42063,1.5451134,1.4132584,,,,,,
305,55.13286,73.57918,1.4846773,2.2711644,,,,,,
306,54.784767,65.39002,1.4515097,2.0081642,,,,,,
307,54.448803,50.696053,1.4365113,1.5600647,,,,,,
308,54.1995,67.05563,1.5070689,2.001005,,,,,,
309,54.434246,61.955444,1.5671262,1.8554295,,,,,,
310,54.40026,46.080967,1.4858259,1.4256655,,,,,,
311,54.47812,53.924286,1.5652729,1.6580354,,,,,,
312,55.394234,66.22294,2.0194204,2.0368197,,,,,,
313,58.090225,79.28586,2.7185745,2.43239,,,,,,
314,61.507378,54.629646,2.4118972,1.6746528,,,,,,
315,61.81934,72.291084,1.8530641,2.1531575,,,,,,
316,60.165775,66.264755,1.6930857,1.9807007,,,,,,
317,58.066048,49.19358,1.5319787,1.4935559,,,,,,
318,55.85427,63.837383,1.5108478,1.984154,,,,,,
319,54.653225,72.83177,1.7087944,2.2347906,,,,,,
320,53.9132,67.18695,1.6348168,2.062861,,,,,,
321,53.104164,46.376167,1.6891522,1.4400566,,,,,,
322,52.788563,72.28709,1.7261219,2.151198,,,,,,
323,53.1327,66.85335,1.7821246,2.007832,,,,,,
324,53.655922,56.781296,1.8006923,1.7100177,,,,,,
325,53.978493,53.08924,1.7829195,1.6082686,,,,,,
326,54.151608,44.641384,1.8861936,1.3916224,,,,,,
327,55.181152,46.162724,2.0437107,1.4430841,,,,,,
328,56.2667,50.477867,2.0856333,1.5596732,,,,,,
329,57.104015,59.730064,2.1802695,1.8458815,,,,,,
330,57.63517,58.97406,2.0983858,1.8269458,,,,,,
331,58.54409,49.756107,2.1319456,1.5471514,,,,,,
332,59.275043,48.794376,2.0562341,1.4985039,,,,,,
333,59.86673,57.6109,2.1288223,1.7424401,,,,,,
334,60.27069,57.92314,2.0535693,1.7679255,,,,,,
335,60.099926,49.979946,1.9691756,1.5369004,,,,,,
336,60.222336,50.78532,1.9754335,1.5752476,,,,,,
337,60.53165,52.11095,1.8797605,1.6154511,,,,,,
338,60.58319,46.14059,2.057978,1.4330252,,,,,,
339,61.26202,48.416523,1.9774985,1.4992675,,,,,,
340,60.94235,52.10744,1.8831522,1.6075218,,,,,,
341,60.938244,53.27193,1.9821411,1.6475308,,,,,,
342,60.908016,53.284092,1.8878834,1.6313554,,,,,,
343,60.689827,49.897747,1.9120997,1.53856,,,,,,
344,61.054844,55.851875,1.9073473,1.7332785,,,,,,
345,61.219143,51.136333,1.8783625,1.577781,,,,,,
346,61.91376,48.939533,1.9563254,1.4918997,,,,,,
347,62.574627,49.919884,1.8964747,1.5303919,,,,,,
348,62.77918,49.22743,1.8188347,1.5338973,,,,,,
349,62.553375,57.037003,1.9088634,1.7650781,,,,,,
350,62.511208,50.254986,1.8680989,1.5613743,,,,,,
351,62.478786,46.864223,1.8105465,1.4476492,,,,,,
352,61.50478,61.062786,1.7258381,1.8361763,,,,,,
353,60.17715,58.53064,1.7408966,1.7568221,,,,,,
354,59.44527,48.23937,1.8616178,1.4822758,,,,,,
355,59.33505,46.2279,1.9190683,1.4404523,,,,,,
356,59.72734,48.183186,1.8803931,1.5024096,,,,,,
357,59.666035,50.648136,1.8283811,1.5790175,,,,,,
358,58.98861,45.042416,1.8249601,1.4018099,,,,,,
359,58.296795,43.477993,1.7722982,1.3581175,,,,,,
360,57.514698,44.831123,1.7637442,1.3867255,,,,,,
361,56.44407,47.187492,1.7169901,1.4503297,,,,,,
362,55.53632,51.539608,1.7850193,1.5734007,,,,,,
363,55.45957,49.192436,1.8313104,1.508725,,,,,,
364,56.057842,47.746815,1.9655453,1.4657047,,,,,,
365,56.320232,50.387928,1.8296318,1.5463269,,,,,,
366,56.16762,44.271416,1.8565757,1.374531,,,,,,
367,56.450657,47.839855,1.8799049,1.4914267,,,,,,
368,56.206474,44.25619,1.8115215,1.3798977,,,,,,
369,56.33174,45.216133,1.8634114,1.4192775,,,,,,
370,56.072285,48.669933,1.722302,1.5028174,,,,,,
371,55.46427,46.148094,1.8074447,1.4274728,,,,,,
372,55.6077,52.67367,1.8399245,1.609287,,,,,,
373,55.61178,47.70025,1.8575784,1.4624404,,,,,,
374,56.28007,46.442085,1.8976747,1.4403002,,,,,,
375,56.517673,46.267696,1.8364959,1.4282082,,,,,,
376,55.59743,44.35003,1.655338,1.3792053,,,,,,
377,54.702374,46.158424,1.7476358,1.4345249,,,,,,
378,54.313053,46.653492,1.783033,1.4449986,,,,,,
379,54.175938,49.006413,1.7276773,1.511903,,,,,,
380,53.79372,48.917503,1.7279222,1.5140809,,,,,,
381,53.510365,46.874256,1.7428311,1.4505154,,,,,,
382,54.366783,44.55613,1.9779567,1.3736855,,,,,,
383,55.554886,49.110283,1.9399289,1.5146735,,,,,,
384,55.63735,51.394676,1.7742757,1.5755743,,,,,,
385,54.728504,48.43294,1.7312489,1.4974905,,,,,,
386,53.825317,45.445503,1.7650194,1.4044598,,,,,,
387,53.56319,44.055103,1.7996663,1.3703574,,,,,,
388,54.068813,50.207924,1.7382531,1.5536014,,,,,,
389,54.271626,47.07461,1.7574303,1.455423,,,,,,
390,54.878593,48.380917,1.8813928,1.5063064,,,,,,
391,55.22962,52.54737,1.861047,1.6138574,,,,,,
392,55.609608,49.092506,1.8876786,1.51083,,,,,,
393,55.594917,49.047157,1.8442689,1.5233948,,,,,,
394,55.997738,49.535347,1.9268461,1.5230539,,,,,,
395,56.37291,47.47575,1.8987325,1.4698957,,,,,,
396,56.344353,48.789356,1.8458906,1.5041058,,,,,,
397,56.266926,50.63489,1.8785994,1.55957,,,,,,
398,56.274998,48.963783,1.851654,1.5160097,,,,,,
399,56.02544,57.726463,1.8345929,1.7611573,,,,,,
400,55.299988,61.222534,1.8759564,1.8871932,,,,,,
401,56.90184,60.73722,2.8151765,1.8283615,,,,,,
402,59.278324,59.65103,2.4415498,1.849644,,,,,,
403,59.16828,64.81274,1.8592806,1.9469812,,,,,,
404,57.699368,62.480904,1.7236282,1.9310346,,,,,,
405,56.605198,62.982346,1.612968,1.9217724,,,,,,
406,55.49892,55.13597,1.5899802,1.6739839,,,,,,
407,54.94954,46.097042,1.656983,1.4319836,,,,,,
408,55.528072,53.591118,1.8318897,1.6218272,,,,,,
409,56.05119,50.78484,1.7658317,1.5750479,,,,,,
410,55.99062,54.451027,1.6699909,1.650484,,,,,,
